month,amount,subsidiary_name,region
01/01/2024,125000,Alpha Corp,North America
01/02/2024,98000,Beta Ltd,Europe
01/03/2024,112000,Gamma Inc,Asia
01/04/2024,134000,Delta LLC,South America
01/05/2024,89000,Epsilon Co,Africa
01/06/2024,145000,Zeta Group,Australia
01/07/2024,123000,Theta Enterprises,North America
01/08/2024,97000,Iota Holdings,Europe
01/09/2024,110000,Kappa Corp,Asia
01/10/2024,140000,Lambda Ltd,South America
01/11/2024,87000,Mu Inc,Africa
01/12/2024,150000,Nu LLC,Australia
01/01/2024,128000,Omicron Co,North America
01/02/2024,95000,Pi Group,Europe
01/03/2024,115000,Rho Enterprises,Asia
01/04/2024,137000,Sigma Holdings,South America
01/05/2024,91000,Tau Corp,Africa
01/06/2024,148000,Upsilon Ltd,Australia
01/07/2024,125000,Phi Inc,North America
01/08/2024,99000,Chi LLC,Europe
01/09/2024,113000,Psi Co,Asia
01/10/2024,143000,Omega Group,South America
01/11/2024,88000,Alpha Beta,Africa
01/12/2024,152000,Beta Gamma,Australia
01/01/2024,130000,Gamma Delta,North America
01/02/2024,97000,Delta Epsilon,Europe
01/03/2024,118000,Epsilon Zeta,Asia
01/04/2024,139000,Zeta Theta,South America
01/05/2024,93000,Theta Iota,Africa
01/06/2024,150000,Iota Kappa,Australia
01/07/2024,127000,Kappa Lambda,North America
01/08/2024,101000,Lambda Mu,Europe
01/09/2024,116000,Mu Nu,Asia
01/10/2024,145000,Nu Xi,South America
01/11/2024,89000,Xi Omicron,Africa
01/12/2024,155000,Omicron Pi,Australia
01/01/2024,132000,Phi Rho,North America
01/02/2024,99000,Rho Sigma,Europe
01/03/2024,120000,Sigma Tau,Asia
01/04/2024,141000,Tau Upsilon,South America
01/05/2024,95000,Upsilon Phi,Africa
01/06/2024,153000,Phi Chi,Australia
01/07/2024,129000,Chi Psi,North America
01/08/2024,103000,Psi Omega,Europe
01/09/2024,119000,Omega Alpha,Asia
01/10/2024,147000,Alpha Beta Gamma,South America
01/11/2024,91000,Beta Gamma Delta,Africa
01/12/2024,157000,Gamma Delta Epsilon,Australia
01/01/2024,134000,Delta Epsilon Zeta,North America
01/02/2024,101000,Epsilon Zeta Theta,Europe
01/03/2024,122000,Zeta Theta Iota,Asia
01/04/2024,143000,Theta Iota Kappa,South America
01/05/2024,97000,Iota Kappa Lambda,Africa
01/06/2024,155000,Kappa Lambda Mu,Australia
01/07/2024,131000,Lambda Mu Nu,North America
01/08/2024,105000,Mu Nu Xi,Europe
01/09/2024,123000,Nu Xi Omicron,Asia
01/10/2024,149000,Xi Omicron Pi,South America
01/11/2024,93000,Omicron Pi Rho,Africa
01/12/2024,160000,Phi Rho Sigma,Australia
01/01/2024,136000,Sigma Tau Upsilon,North America
01/02/2024,103000,Tau Upsilon Phi,Europe
01/03/2024,125000,Upsilon Phi Chi,Asia
01/04/2024,145000,Phi Chi Psi,South America
01/05/2024,99000,Chi Psi Omega,Africa
01/06/2024,157000,Psi Omega Alpha,Australia
01/07/2024,133000,Omega Alpha Beta,North America
01/08/2024,107000,Alpha Beta Gamma Delta,Europe
01/09/2024,126000,Beta Gamma Delta Epsilon,Asia
01/10/2024,151000,Gamma Delta Epsilon Zeta,South America
01/11/2024,95000,Delta Epsilon Zeta Theta,Africa
01/12/2024,162000,Epsilon Zeta Theta Iota,Australia
01/12/2024,100000,Kostas Corp,West Europe
